Time Stamp,District,Area,Status
1444993501,7,Area08_008,Done
1444993501,7,Area08_009,Done
1444993501,7,Area08_010,Done
1444993501,7,Area08_011,Done
1444993501,7,Area08_012,Done
1444993501,7,Area08_013,Done
1444993501,7,Area08_014,Done
1444993501,7,Area08_015,Done
1444993501,7,Area08_016,Done
1444993501,7,Area08_017,Done
1444993501,7,Area08_018,Done
1444993501,7,Area08_019,Done
1444993501,7,Area08_020,Done
1444993501,7,Area08_021,Done
1444993501,7,Area08_022,Done
1444993501,7,Area08_099,Done
1445036701,9,Area10_001,Done
1445036701,9,Area10_002,Done
1445036701,9,Area10_003,Done
1445036701,9,Area10_004,Done
1445036701,9,Area10_005,Done
1445036701,9,Area10_006,Done
1445036701,9,Area10_007,Done
1445036701,9,Area10_008,Done
1445036701,9,Area10_009,Done
1445036701,9,Area10_010,Done
1445036701,9,Area10_011,Done
1445036701,9,Area10_012,Done
1445036701,9,Area10_013,Done
1445036701,9,Area10_014,Done
1445036701,9,Area10_015,Done
1445036701,9,Area10_016,Done
1445036701,9,Area10_017,Done
1445036701,9,Area10_018,Done
1445036701,9,Area10_019,Done
1445036701,9,Area10_020,Done
1445036701,9,Area10_021,Done
1445036701,9,Area10_022,Done
1445036701,9,Area10_023,Done
1445036701,1,Area02_001,Done
1445036701,1,Area02_002,Done
1445036701,1,Area02_003,Done
1445036701,1,Area02_004,Done
1445036701,1,Area02_005,Done
